distribution_id,dtau_type,S_star_id,S,Sigma_id,distribution,tau,sigma_id,d,departure_id,stat_id,quantiles_id,zeta1_id,quantile_id,alpha,epsilon,norm,power
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.9,Euclidean,0.1238
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.9,Euclidean,0.0626
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.9,Euclidean,0.0338
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,0.9,Supremum,0.1262
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,0.9,Supremum,0.0714
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,0.9,Supremum,0.0414
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1,Euclidean,0.1316
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1,Euclidean,0.067
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1,Euclidean,0.0352
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1,Supremum,0.144
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1,Supremum,0.0834
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1,Supremum,0.0508
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.1,Euclidean,0.1372
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.1,Euclidean,0.0702
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.1,Euclidean,0.0364
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.1,Supremum,0.1658
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.1,Supremum,0.1026
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.1,Supremum,0.0606
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.2,Euclidean,0.1448
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.2,Euclidean,0.0734
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.2,Euclidean,0.0374
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.2,Supremum,0.1972
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.2,Supremum,0.1264
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.2,Supremum,0.0788
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.3,Euclidean,0.1534
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.3,Euclidean,0.0792
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.3,Euclidean,0.0398
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.3,Supremum,0.2338
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.3,Supremum,0.1578
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.3,Supremum,0.1018
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.4,Euclidean,0.1626
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.4,Euclidean,0.0862
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.4,Euclidean,0.043
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.4,Supremum,0.2814
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.4,Supremum,0.1932
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.4,Supremum,0.1322
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.5,Euclidean,0.1726
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.5,Euclidean,0.0918
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.5,Euclidean,0.0468
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.5,Supremum,0.3386
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.5,Supremum,0.2454
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.5,Supremum,0.1688
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.6,Euclidean,0.1822
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.6,Euclidean,0.0982
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.6,Euclidean,0.0526
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.6,Supremum,0.3936
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.6,Supremum,0.305
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.6,Supremum,0.219
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.7,Euclidean,0.1958
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.7,Euclidean,0.1086
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.7,Euclidean,0.0574
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.7,Supremum,0.4514
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.7,Supremum,0.3614
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.7,Supremum,0.2784
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.8,Euclidean,0.2088
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.8,Euclidean,0.117
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.8,Euclidean,0.0652
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.8,Supremum,0.5192
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.8,Supremum,0.423
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.8,Supremum,0.3366
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.9,Euclidean,0.2216
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.9,Euclidean,0.1282
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.9,Euclidean,0.071
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,1.9,Supremum,0.5896
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,1.9,Supremum,0.4932
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,1.9,Supremum,0.3976
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2,Euclidean,0.2392
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2,Euclidean,0.1408
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2,Euclidean,0.079
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2,Supremum,0.648
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2,Supremum,0.5612
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2,Supremum,0.4706
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.1,Euclidean,0.2568
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.1,Euclidean,0.1528
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.1,Euclidean,0.0872
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.1,Supremum,0.7126
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.1,Supremum,0.6272
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.1,Supremum,0.541
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.2,Euclidean,0.2792
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.2,Euclidean,0.1674
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.2,Euclidean,0.0988
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.2,Supremum,0.7672
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.2,Supremum,0.694
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.2,Supremum,0.6096
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.3,Euclidean,0.3034
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,2,0.05,2.3,Euclidean,0.184
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,3,0.025,2.3,Euclidean,0.1102
1,single,1,I,1,clayton,0.3,1,15,1,1,1,1,1,0.1,2.3,Supremum,0.8198
