n,d,tau,S,Sh,norm,dtau,dtau_type,distribution,rejection_rate,pvalue_NA_rate,N,psd_rate,pd_rate
50,50,0.6,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
50,50,0.6,I,ShJ,Supremum,0,none,normal,0.8,0,2500,,
50,50,0.6,I,ShJ,Euclidean,0.2,column,normal,93.96,0,2500,,
50,50,0.6,I,ShJ,Supremum,0.2,column,normal,99.64,0,2500,,
50,50,0.3,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
50,50,0.3,I,ShJ,Supremum,0.2,single,normal,2.76,0,2500,,
150,50,0.3,I,ShJ,Euclidean,0.2,single,normal,0.36,0,2500,,
150,50,0.3,I,ShJ,Supremum,0.2,single,normal,64.28,0,2500,,
100,50,0,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
100,50,0,I,ShJ,Supremum,0.2,single,normal,12.36,0,2500,,
150,50,0.6,I,ShJ,Euclidean,0.1,column,normal,95.08,0,2500,,
150,50,0.6,I,ShJ,Supremum,0.1,column,normal,99.48,0,2500,,
150,50,0.6,I,ShJ,Euclidean,0.1,single,normal,0.32,0,2500,,
150,50,0.6,I,ShJ,Supremum,0.1,single,normal,27.8,0,2500,,
50,50,0.3,I,ShJ,Euclidean,0.2,column,normal,26.52,0,2500,,
50,50,0.3,I,ShJ,Supremum,0.2,column,normal,67.92,0,2500,,
50,50,0.6,I,ShJ,Euclidean,0.1,column,normal,3.4,0,2500,,
50,50,0.6,I,ShJ,Supremum,0.1,column,normal,32.52,0,2500,,
150,50,0.3,I,ShJ,Euclidean,0.1,single,normal,0.28,0,2500,,
150,50,0.3,I,ShJ,Supremum,0.1,single,normal,4.4,0,2500,,
50,100,0.3,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
50,100,0.3,I,ShJ,Supremum,0.1,single,normal,1.64,0,2500,,
150,100,0,I,ShJ,Euclidean,0.1,column,normal,0.52,0,2500,,
150,100,0,I,ShJ,Supremum,0.1,column,normal,31.12,0,2500,,
100,100,0.3,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
100,100,0.3,I,ShJ,Supremum,0.2,single,normal,13.2,0,2500,,
100,100,0.3,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
100,100,0.3,I,ShJ,Supremum,0.1,single,normal,2.96,0,2500,,
150,100,0.6,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
150,100,0.6,I,ShJ,Supremum,0,none,normal,1.48,0,2500,,
150,100,0.3,I,ShJ,Euclidean,0.1,column,normal,8.88,0,2500,,
150,100,0.3,I,ShJ,Supremum,0.1,column,normal,57.08,0,2500,,
50,100,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
50,100,0,I,ShJ,Supremum,0,none,normal,0.96,0,2500,,
150,100,0.6,I,ShJ,Euclidean,0.1,column,normal,74,0,2500,,
150,100,0.6,I,ShJ,Supremum,0.1,column,normal,99.36,0,2500,,
100,100,0,I,ShJ,Euclidean,0.2,column,normal,19.8,0,2500,,
100,100,0,I,ShJ,Supremum,0.2,column,normal,87.12,0,2500,,
50,100,0.6,I,ShJ,Euclidean,0.1,column,normal,0.04,0,2500,,
50,100,0.6,I,ShJ,Supremum,0.1,column,normal,29.48,0,2500,,
150,100,0.3,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
150,100,0.3,I,ShJ,Supremum,0,none,normal,3.32,0,2500,,
150,100,0.6,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
150,100,0.6,I,ShJ,Supremum,0.2,single,normal,100,0,2500,,
100,100,0.6,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
100,100,0.6,I,ShJ,Supremum,0.1,single,normal,2.4,0,2500,,
50,100,0.6,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
50,100,0.6,I,ShJ,Supremum,0.1,single,normal,0.64,0,2500,,
50,100,0.6,I,ShJ,Euclidean,0.2,column,normal,66.56,0,2500,,
50,100,0.6,I,ShJ,Supremum,0.2,column,normal,99.48,0,2500,,
150,100,0,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
150,100,0,I,ShJ,Supremum,0.2,single,normal,19.28,0,2500,,
50,100,0.3,I,ShJ,Euclidean,0.2,column,normal,4.52,0,2500,,
50,100,0.3,I,ShJ,Supremum,0.2,column,normal,66.32,0,2500,,
100,100,0.6,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
100,100,0.6,I,ShJ,Supremum,0.2,single,normal,97.64,0,2500,,
100,100,0,I,ShJ,Euclidean,0.1,column,normal,0,0,2500,,
100,100,0,I,ShJ,Supremum,0.1,column,normal,13.92,0,2500,,
150,100,0.3,I,ShJ,Euclidean,0.2,column,normal,97.4,0,2500,,
150,100,0.3,I,ShJ,Supremum,0.2,column,normal,99.96,0,2500,,
50,100,0.3,I,ShJ,Euclidean,0.1,column,normal,0,0,2500,,
50,100,0.3,I,ShJ,Supremum,0.1,column,normal,8.72,0,2500,,
50,100,0.6,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
50,100,0.6,I,ShJ,Supremum,0.2,single,normal,4.56,0,2500,,
100,100,0.3,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
100,100,0.3,I,ShJ,Supremum,0,none,normal,2.56,0,2500,,
50,100,0,I,ShJ,Euclidean,0.1,column,normal,0,0,2500,,
50,100,0,I,ShJ,Supremum,0.1,column,normal,3.16,0,2500,,
50,100,0.6,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
50,100,0.6,I,ShJ,Supremum,0,none,normal,0.24,0,2500,,
150,100,0.3,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
150,100,0.3,I,ShJ,Supremum,0.1,single,normal,3.96,0,2500,,
150,100,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
150,100,0,I,ShJ,Supremum,0,none,normal,2.28,0,2500,,
100,100,0.6,I,ShJ,Euclidean,0.2,column,normal,100,0,2500,,
100,100,0.6,I,ShJ,Supremum,0.2,column,normal,100,0,2500,,
100,100,0,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
100,100,0,I,ShJ,Supremum,0,none,normal,1.76,0,2500,,
100,100,0.3,I,ShJ,Euclidean,0.2,column,normal,67.2,0,2500,,
100,100,0.3,I,ShJ,Supremum,0.2,column,normal,98.24,0,2500,,
150,100,0.3,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
150,100,0.3,I,ShJ,Supremum,0.2,single,normal,45.52,0,2500,,
100,100,0,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
100,100,0,I,ShJ,Supremum,0.2,single,normal,5.76,0,2500,,
50,100,0,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
50,100,0,I,ShJ,Supremum,0.1,single,normal,0.64,0,2500,,
150,100,0,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
150,100,0,I,ShJ,Supremum,0.1,single,normal,3.24,0,2500,,
150,100,0,I,ShJ,Euclidean,0.2,column,normal,72.4,0,2500,,
150,100,0,I,ShJ,Supremum,0.2,column,normal,98.24,0,2500,,
50,100,0,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
50,100,0,I,ShJ,Supremum,0.2,single,normal,0.8,0,2500,,
50,100,0.3,I,ShJ,Euclidean,0.2,single,normal,0,0,2500,,
50,100,0.3,I,ShJ,Supremum,0.2,single,normal,1.56,0,2500,,
100,100,0.6,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
100,100,0.6,I,ShJ,Supremum,0,none,normal,1.4,0,2500,,
50,100,0.3,I,ShJ,Euclidean,0,none,normal,0,0,2500,,
50,100,0.3,I,ShJ,Supremum,0,none,normal,1.56,0,2500,,
100,100,0,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
100,100,0,I,ShJ,Supremum,0.1,single,normal,2.24,0,2500,,
100,100,0.3,I,ShJ,Euclidean,0.1,column,normal,1.2,0,2500,,
100,100,0.3,I,ShJ,Supremum,0.1,column,normal,33.28,0,2500,,
50,100,0,I,ShJ,Euclidean,0.2,column,normal,0.16,0,2500,,
50,100,0,I,ShJ,Supremum,0.2,column,normal,35.56,0,2500,,
150,100,0.6,I,ShJ,Euclidean,0.1,single,normal,0,0,2500,,
150,100,0.6,I,ShJ,Supremum,0.1,single,normal,14.16,0,2500,,
150,100,0.6,I,ShJ,Euclidean,0.2,column,normal,100,0,2500,,
150,100,0.6,I,ShJ,Supremum,0.2,column,normal,100,0,2500,,
100,100,0.6,I,ShJ,Euclidean,0.1,column,normal,21.8,0,2500,,
100,100,0.6,I,ShJ,Supremum,0.1,column,normal,87.48,0,2500,,
50,50,0.3,Sh,SbJ,Euclidean,0.2,column,normal,1.16,0,2500,,1
